Number;IUPAC-Name;Charge;Molecular Formula;Isomeric SMILES;Water;DMSO;Acetonitrile;Methanol;dG_gas;Water_neutral;DMSO_neutral;Acetonitrile_neutral;Methanol_neutral;Water_neutral_ref;Water_pka;DMSO_pka;Acetonitrile_pka;Methanol_pka;Water_pka_ref;DMSO_pka_ref;Acetonitrile_pka_ref;Methanol_pka_ref;;;;;
110;2-chlorophenol;-1;H4C6O1CL1;C1=CC=C(C(=C1)O)Cl;-69.8;;;-66.9;337.7;-4.5;-9.8;-7.9;-8.0;46;8.5;;;13;48;;;34;;;;;
111;4-chlorophenol;-1;H4C6O1CL1;C1=CC(=CC=C1O)Cl;-69.0;;;;336.5;-6.2;-12.5;-10.5;-10.7;46;9.4;;;;48;;;;;;;;
112;3-chloroaniline;1;H7C6N1CL1;C1=CC(=CC(=C1)Cl)N;-71.7;;;-76.7;199.7;-5.8;-10.8;-9.5;-9.2;46;3.5;;;4.5;48;;;34;;;;;
113;4-chloroaniline;1;H7C6N1CL1;C1=CC(=CC=C1N)Cl;-72.9;;;-77.8;199.3;-5.9;-10.7;-9.5;-9.2;46;4;;;5;48;;;34;;;;;
114;1-methylpiperidine;1;H14C6N1;CN1CCCCC1;;;;-49.5;230.9;;-3.4;-4.2;-5.8;;;;;9.9;;;;34;;;;;
115;2,4-dimethylpyridine;1;H10C7N1;CC1=CC(=NC=C1)C;;;-47.6;;223.5;;-6.0;-6.6;-7.6;;;;14.1;;;;1;;;;;;
116;2,6-dimethylpyridine;1;H10C7N1;CC1=NC(=CC=C1)C;;;;-54.7;223.1;;-5.6;-6.1;-7.3;;;;;6.9;;;;34,35;;;;;
117;2-methylpyridine;1;H8C6N1;CC1=CC=CC=N1;;;;-56.8;219.7;;-5.8;-6.0;-7.0;;;;;6.2;;;;34,35;;;;;
118;3-bromoaniline;1;H7C6N1BR1;C1=CC(=CC(=C1)Br)N;;;;-77.0;200.0;;-11.5;-10.2;-9.9;;;;;4.4;;;;34;;;;;
119;3-methoxyaniline;1;H10C7N1O1;COC1=CC=CC(=C1)N;;;;-73.7;205.3;;-10.8;-10.0;-9.7;;;;;6;;;;34;;;;;
120;3-methylpyridine;1;H8C6N1;CC1=CN=CC=C1;;;;-57.9;218.1;;-6.0;-6.3;-7.1;;;;;5.8;;;;34,35;;;;;
121;pyridine-4-carbonitrile;1;H5C6N2;C1=CN=CC=C1C#N;;;;-72.5;203.1;;-8.3;-7.9;-8.2;;;;;4.6;;;;36;;;;;
122;4-ethylpyridine;1;H10C7N1;CCC1=CC=NC=C1;;;;-56.7;220.3;;-6.2;-6.8;-7.6;;;;;6.1;;;;34,36;;;;;
123;4-methylbenzoic acid;1;H9C8O2;CC1=CC=C(C=C1)C(=O)O;;;-66.5;;190.0;;-12.4;-10.6;-11.1;;;;0.4;;;;;34,37,38;;;;;
124;4-methylpyridine;1;H8C6N1;CC1=CC=NC=C1;;;;-57.5;219.1;;-6.1;-6.4;-7.3;;;;;6.1;;;;34?36;;;;;
125;4-phenylpyridine;1;H10C11N1;C1=CC=C(C=C1)C2=CC=NC=C2;;;;;;;-9.8;-10.0;-10.7;;;;;5.8;;;;34,36;;;;;
126;acetic acid;1;H5C2O2;CC(=O)O;;;-76.8;;177.2;;-9.0;-7.2;-7.6;;;;1.1;;;;3,4;;;;;;
127;benzoic acid;1;H7C7O2;C1=CC=C(C=C1)C(=O)O;;;-68.5;;187.0;;-12.2;-10.1;-10.6;;;;0;;;;3;;;;;;
128;phenylmethanamine;1;H10C7N1;C1=CC=C(C=C1)CN;;;-62.2;;213.4;;-7.1;-7.3;-8.5;;;;16.8;;;;9?11;;;;;;
129;2-methyl-N-(2-methylpropyl)propan-1-amine;1;H20C8N1;CC(C)CNCC(C)C;;;;;;;-3.7;-4.8;-6.4;;;;17.9;;;;2;;;;;;
130;N-butylbutan-1-amine;1;H20C8N1;CCCCNCCCC;;;-51.6;;223.6;;-3.9;-5.0;-6.6;;;;18.3;;;;2;;;;;;
131;ethanamine;1;H8C2N1;CCN;;;-63.2;-70.6;210.7;;-3.2;-3.5;-5.2;;;;18.4;11;;;2;34;;;;;
132;sulfane;1;H3S1;S;;;-87.9;;161.1;;-3.1;-3.1;-2.5;;;;0.5;;;;3;;;;;;
133;2-methylpropan-1-amine;1;H12C4N1;CC(C)CN;;;-60.3;;213.6;;-3.7;-4.2;-5.8;;;;17.9;;;;2;;;;;;
134;anisole;1;H9C7O1;COC1=CC=CC=C1;;;-69.5;;181.4;;-5.8;-6.2;-5.8;;;;-0.5;;;;3;;;;;;
135;butan-1-ol;1;H11C4O1;CCCCO;;;-72.8;;181.0;;-6.3;-5.5;-6.5;;;;2.2;;;;6;;;;;;
136;butan-1-amine;1;H12C4N1;CCCCN;;;-61.7;-69.8;212.8;;-3.7;-4.1;-5.7;;;;18.3;11.5;;;2;34;;;;;
137;phenol;1;H7C6O1;C1=CC=C(C=C1)O;;;-83.6;;171.5;;-11.0;-9.2;-9.4;;;;0.4;;;;3;;;;;;
138;2-methylpropan-2-ol;1;H11C4O1;CC(C)(C)O;;;-68.0;;187.2;;-5.8;-5.3;-6.4;;;;3.4;;;;6;;;;;;
139;oxolane;1;H9C4O1;C1CCOC1;;;-60.9;;189.9;;-3.3;-4.0;-4.6;;;;1.1;;;;3;;;;;;
140;ethanethioamide;1;H6C2N1S1;CC(=S)N;;;-60.1;;202.4;;-13.1;-10.8;-10.5;;;;4.7;;;26;;;;;;;
141;N,N-dibutylbutan-1-amine;1;H28C12N1;CCCCN(CCCC)CCCC;;;;;;;-3.6;-5.3;-7.1;;;;18.1;;;;2;;;;;;
142;2H-triazole;-1;H2C2N3;C1=NNN=C1;;-63.2;;;339.8;;-10.6;-8.0;-9.0;;;13.9;;;;26;;;;;;;
143;1H-1,2,4-triazole;-1;H2C2N3;C1=NC=NN1;;-59.4;;;332.0;;-15.8;-13.8;-15.8;;;14.8;;;;26;;;;;;;
144;2,4,6-trimethylbenzoic acid;-1;H11C10O2;CC1=CC(=C(C(=C1)C)C(=O)O)C;;;-69.8;;331.8;;-12.9;-11.5;-11.9;;;;20.6;;;;8;;;;;;
145;2,4-dinitrophenol;-1;H3C6N2O5;C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O;;-51.5;-58.7;-54.2;315.2;;-12.5;-11.7;-10.7;;;5.8;16.8;7.8;;14,26;2;34,37,38;;;;;
146;2-chlorobenzoic acid;-1;H4C7O2CL1;C1=CC=C(C(=C1)C(=O)O)Cl;;-62.7;-70.3;-68.8;329.8;;-13.9;-11.8;-12.1;;;9.3;19;8.8;;14;8;34;;;;;
147;2-fluorobenzoic acid;-1;H4C7O2F1;C1=CC=C(C(=C1)C(=O)O)F;;;;-70.2;331.9;;-12.6;-10.5;-10.8;;;;;8.4;;;;34;;;;;
148;2-fluorophenol;-1;H4C6O1F1;C1=CC=C(C(=C1)O)F;;;;-69.7;340.4;;-9.6;-7.9;-8.0;;;;;12.9;;;;34;;;;;
149;2-hydroxybenzoic acid;-1;H5C7O3;C1=CC=C(C(=C1)C(=O)O)O;;;-62.3;-58.8;318.1;;-14.7;-12.2;-12.6;;;;16.7;8;;;12;39;;;;;
150;1,3-dihydroinden-2-one;-1;H7C9O1;C1C(=O)CC2=CC=CC=C21;;-59.7;;;342.8;;-8.4;-8.8;-8.3;;;17;;;;26;;;;;;;
151;2-methoxyacetamide;-1;H6C3N1O2;COCC(=O)N;;-67.5;;;358.3;;-10.0;-9.0;-9.8;;;23.9;;;;26;;;;;;;
152;naphthalen-2-ol;-1;H7C10O1;C1=CC=C2C=C(C=CC2=C1)O;;-59.2;;;336.9;;-13.9;-12.0;-12.3;;;17.1;;;;26;;;;;;;
153;2-nitrobenzoic acid;-1;H4C7N1O4;C1=CC=C(C(=C1)C(=O)O)[N+](=O)[O-];;-61.6;-68.3;-66.7;324.0;;-17.0;-14.5;-14.3;;;8.2;18.2;7.7;;14;2;39;;;;;
154;2-nitropropane;-1;H6C3N1O2;CC(C)[N+](=O)[O-];;-65.9;;;351.8;;-5.4;-5.8;-5.0;;;16.9;;;;26;;;;;;;
155;2-tert-butylphenol;-1;H13C10O1;CC(C)(C)C1=CC=CC=C1O;;;;-65.6;338.8;;-11.4;-10.1;-10.4;;;;;16.5;;;;34,40;;;;;
156;3,4,5-trichlorophenol;-1;H2C6O1CL3;C1=C(C=C(C(=C1Cl)Cl)Cl)O;;;-60.9;;324.5;;-14.6;-12.4;-12.8;;;;22.5;;;;15;;;;;;
157;3,4-dimethylbenzoic acid;-1;H9C9O2;CC1=C(C=C(C=C1)C(=O)O)C;;-60.3;-68.3;-68.6;331.2;;-13.0;-11.4;-11.8;;;11.4;21.2;9.7;;14;16;16,34;;;;;
158;3-aminobenzoic acid;-1;H6C7N1O2;C1=CC(=CC(=C1)N)C(=O)O;;-68.7;;;334.8;;-17.1;-13.8;-14.3;;;11;;;;14,27,28;;;;;;;
159;pyridin-3-amine;-1;H5C5N2;C1=CC(=CN=C1)N;;-60.7;;;356.8;;-11.1;-9.8;-10.9;;;28.5;;;;26;;;;;;;
160;3-chlorobenzoic acid;-1;H4C7O2CL1;C1=CC(=CC(=C1)Cl)C(=O)O;;;;;;;-13.3;-11.1;-11.5;;;;;8.7;;;;37;;;;;
161;3-chlorophenol;-1;H4C6O1CL1;C1=CC(=CC(=C1)Cl)O;;;-66.2;-66.9;335.2;;-12.4;-10.4;-10.7;;;;25;13.1;;;15;34;;;;;
162;3-cyanobenzoic acid;-1;H4C8N1O2;C1=CC(=CC(=C1)C(=O)O)C#N;;;;-64.8;323.8;;-16.0;-13.3;-13.7;;;;;8.5;;;;34;;;;;
163;3-hydroxybenzoic acid;-1;H5C7O3;C1=CC(=CC(=C1)O)C(=O)O;;-67.0;;-73.0;331.6;;-18.8;-14.6;-15.6;;;11.1;;9.6;;28;;34;;;;;
164;3-methylbenzoic acid;-1;H7C8O2;CC1=CC(=CC=C1)C(=O)O;;-64.8;;-72.8;335.7;;-12.3;-10.5;-11.0;;;11;;9.4;;14,28;;34,37,38;;;;;
165;3-nitrobenzoic acid;-1;H4C7N1O4;C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O;;;-65.3;-64.7;323.4;;-16.1;-13.5;-13.7;;;;19.3;8.3;;;13,14;34,37,39;;;;;
166;3-(trifluoromethyl)benzoic acid;-1;H4C8O2F3;C1=CC(=CC(=C1)C(F)(F)F)C(=O)O;;;;-64.8;326.7;;-12.6;-10.6;-11.1;;;;;8.7;;;;34;;;;;
167;3-(trifluoromethyl)phenol;-1;H4C7O1F3;C1=CC(=CC(=C1)O)C(F)(F)F;;;-63.5;;333.1;;-11.6;-9.7;-10.1;;;;24.9;;;;15;;;;;;
168;4-aminobenzoic acid;-1;H6C7N1O2;C1=CC(=CC=C1C(=O)O)N;;;;-77.5;337.2;;-18.6;-14.9;-15.5;;;;;10.3;;;;34;;;;;
169;pyridin-4-amine;-1;H5C5N2;C1=CN=CC=C1N;;-59.8;;;352.0;;-12.3;-10.6;-12.1;;;26.5;;;;26;;;;;;;
170;4-chlorobenzoic acid;-1;H4C7O2CL1;C1=CC(=CC=C1C(=O)O)Cl;;;;;;;-13.0;-10.9;-11.4;;;10.1;;9;;28;;34,37;;;;;
171;4-hydroxybenzonitrile;-1;H4C7N1O1;C1=CC(=CC=C1C#N)O;;;-62.3;;325.4;;-15.8;-13.3;-13.6;;;;22.8;;;;15;;;;;;
172;4-fluorobenzoic acid;-1;H4C7O2F1;C1=CC(=CC=C1C(=O)O)F;;;;-67.5;330.7;;-12.1;-10.0;-10.5;;;;;9.2;;;;34;;;;;
173;4-hydroxybenzaldehyde;-1;H5C7O2;C1=CC(=CC=C1C=O)O;;;;-62.9;326.9;;-15.1;-13.0;-13.5;;;;;12;;;;40;;;;;
174;4-hydroxybenzoic acid;-1;H5C7O3;C1=CC(=CC=C1C(=O)O)O;;;-70.3;-70.3;328.6;;-19.5;-15.4;-16.4;;;;20.8;10;;;12;34;;;;;
175;4-methoxybenzoic acid;-1;H7C8O3;COC1=CC=C(C=C1)C(=O)O;;;;-72.9;335.0;;-14.0;-12.1;-12.4;;;;;9.8;;;;34;;;;;
176;4-methylbenzoic acid;-1;H7C8O2;CC1=CC=C(C=C1)C(=O)O;;;;-71.8;334.8;;-12.4;-10.6;-11.1;;;;;9.5;;;3;;;;;;
177;4-nitrobenzoic acid;-1;H4C7N1O4;C1=CC(=CC=C1C(=O)O)[N+](=O)[O-];;-57.9;-65.0;-63.6;322.4;;-16.0;-13.4;-13.6;;;9;18.7;8.3;;14,26?28;12,16;16,34b;;;;;
178;4-tert-butylbenzoic acid;-1;H13C11O2;CC(C)(C)C1=CC=C(C=C1)C(=O)O;;;;;;;-13.2;-11.8;-12.3;;;;;9.6;;;;34;;;;;
179;4-tert-butylphenol;-1;H13C10O1;CC(C)(C)C1=CC=C(C=C1)O;;;;-72.7;342.8;;-11.8;-10.6;-10.9;;;;;14.6;;;;34,40;;;;;
180;7H-purin-6-amine;-1;H4C5N5;C1=NC2=NC=NC(=C2N1)N;;-61.8;;;329.9;;-19.5;-15.3;-18.3;;;14.2;;;;26;;;;;;;
181;benzamide;-1;H6C7N1O1;C1=CC=C(C=C1)C(=O)N;;-61.5;;;348.1;;-13.6;-11.7;-12.6;;;23.4;;;;26;;;;;;;
182;2-phenylacetamide;-1;H8C8N1O1;C1=CC=C(C=C1)CC(=O)N;;-63.2;;;352.2;;-12.9;-11.6;-12.3;;;24.7;;;;26;;;;;;;
183;benzenesulfonamide;-1;H6C6N1O2S1;C1=CC=C(C=C1)S(=O)(=O)N;;;;;;;-16.8;-13.9;-14.3;;;16.1;24.6;;;26;20;;;;;;
184;1-phenylpropan-2-one;-1;H9C9O1;CC(=O)CC1=CC=CC=C1;;-62.1;;;349.5;;-8.0;-8.7;-8.2;;;19.9;;;;26;;;;;;;
185;2-bromoacetic acid;-1;H2C2O2BR1;C(C(=O)O)Br;;;;-65.5;327.7;;-12.0;-9.9;-9.9;;;;;8.1;;;;34;;;;;
186;butanoic acid;-1;H7C4O2;CCCC(=O)O;;;-70.2;-72.6;338.8;;-9.3;-7.7;-8.1;;;;22.7;9.7;;;16;34,37;;;;;
187;9H-carbazole;-1;H8C12N1;C1=CC=C2C(=C1)C3=CC=CC=C3N2;;-57.0;;;338.6;;-13.7;-12.2;-12.2;;;19.9;;;;26;;;;;;;
188;2-cyanoacetic acid;-1;H2C3N1O2;C(C#N)C(=O)O;;;-65.4;-63.8;322.6;;-15.0;-12.7;-12.5;;;;18;7.5;;;21;34,42,43;;;;;
189;cyclobutanecarboxylic acid;-1;H7C5O2;C1CC(C1)C(=O)O;;;;-72.2;338.2;;-9.6;-8.1;-8.6;;;;;9.9;;;;34;;;;;
190;cyclohexanecarboxylic acid;-1;H11C7O2;C1CCC(CC1)C(=O)O;;;-69.9;-72.9;338.0;;-10.3;-9.0;-9.6;;;;23.3;10;;;22;34,44;;;;;
191;cyclopenta-1,3-diene;-1;H5C5;C1C=CC=C1;;-59.4;;;348.8;;-3.4;-3.8;-3.4;;;18;;;;26;;;;;;;
192;cyclopropanecarboxylic acid;-1;H5C4O2;C1CC1C(=O)O;;;;-72.4;338.4;;-9.7;-8.0;-8.4;;;;;9.8;;;;34;;;;;
193;methylsulfonylmethane;-1;H5C2O2S1;CS(=O)(=O)C;;-60.3;;;361.3;;-9.6;-10.3;-9.3;;;31.1;;;;26;;;;;;;
194;ethanethioamide;-1;H4C2N1S1;CC(=S)N;;-59.5;;;339.9;;-13.1;-10.8;-10.5;;;18.5;;;;;3;;;;;;
195;2-fluoroacetic acid;-1;H2C2O2F1;C(C(=O)O)F;;;;-68.7;331.7;;-11.0;-9.0;-9.0;;;;;8;;;;34;;;;;
196;formamide;-1;H2C1N1O1;C(=O)N;;-66.1;;;355.9;;-10.4;-8.6;-9.7;;;23.5;;;;26;;;;;;;
197;2-hydroxyacetic acid;-1;H3C2O3;C(C(=O)O)O;;;-67.1;-66.4;329.1;;-12.3;-9.7;-10.3;;;;19.3;8.7;;;21;34;;;;;
198;1H-imidazole;-1;H3C3N2;C1=CN=CN1;;-61.7;;;344.0;;-11.3;-9.7;-11.2;;;18.6;;;;26;;;;;;;
199;propanedinitrile;-1;H1C3N2;C(C#N)C#N;;-54.8;;;328.6;;-9.4;-8.7;-8.0;;;11;;;;26;;;;;;;
200;3-methylphenol;-1;H7C7O1;CC1=CC(=CC=C1)O;;;;-73.0;344.2;;-11.1;-9.5;-9.7;;;;;14.5;;;;34,45;;;;;
201;methanesulfonamide;-1;H4C1N1O2S1;CS(=O)(=O)N;;-60.7;;;340.3;;-12.5;-10.5;-10.3;;;17.5;;;;26;;;;;;;
202;methanesulfonic acid;-1;H3C1O3S1;CS(=O)(=O)O;;;-68.2;;313.2;;-16.3;-14.0;-13.6;;;;10;;;;23;;;;;;
203;butane-1-thiol;-1;H9C4S1;CCCCS;;-61.5;;;348.9;;-4.0;-4.7;-4.2;;;17;;;;26;;;;;;;
204;nitric acid;-1;N1O3;[N+](=O)(O)[O-];;;-69.7;;319.6;;-10.3;-7.6;-8.0;;;;8.9;;;;24;;;;;;
205;nitrous acid;-1;N1O2;N(=O)O;;-66.5;;;337.1;;-7.9;-5.3;-6.0;;;7.5;;;;26;;;;;;;
206;2-methylphenol;-1;H7C7O1;CC1=CC=CC=C1O;;;;-70.5;342.6;;-10.7;-9.2;-9.4;;;;;15;;;;34,45;;;;;
207;4-methylphenol;-1;H7C7O1;CC1=CC=C(C=C1)O;;-62.0;;-73.7;345.0;;-11.0;-9.4;-9.7;;;18.9;;14.6;;33;;34,45;;;;;
208;2-phenylacetic acid;-1;H7C8O2;C1=CC=C(C=C1)CC(=O)O;;;;-73.0;335.2;;-13.4;-11.6;-11.8;;;;;9.4;;;;34,37;;;;;
209;ethynylbenzene;-1;H5C8;C#CC1=CC=CC=C1;;-62.6;;;364.0;;-6.0;-6.0;-5.6;;;28.7;;;;26;;;;;;;
210;2-phenylpropanedinitrile;-1;H5C9N2;C1=CC=C(C=C1)C(C#N)C#N;;-50.9;;;313.3;;-11.5;-10.7;-10.1;;;4.2;;;;26;;;;;;;
211;1H-pyrazole;-1;H3C3N2;C1=CNN=C1;;-63.4;;;348.8;;-9.8;-8.1;-9.0;;;19.8;;;;26;;;;;;;
212;pyrrolidine-2,5-dione;-1;H4C4N1O2;C1CC(=O)NC1=O;;-61.1;;;336.6;;-12.6;-11.2;-11.3;;;14.6;;;;26;;;;;;;
213;2H-tetrazole;-1;H1C1N4;C1=NNN=N1;;-61.4;;;324.3;;-16.5;-13.4;-14.2;;;8.2;;;;26;;;;;;;
214;2,2,2-trifluoroacetamide;-1;H1C2N1O1F3;C(=O)(C(F)(F)F)N;;-57.8;;;338.2;;-11.3;-8.4;-8.9;;;17.2;;;;26;;;;;;;
215;2,2,2-trifluoroacetic acid;-1;C2O2F3;C(=O)(C(F)(F)F)O;;-54.7;-62.5;;317.5;;-10.2;-7.6;-8.3;;;3.5;12.7;;;26;10;;;;;;
216;urea;-1;H3C1N2O1;C(=O)(N)N;;-65.4;;;357.2;;-13.3;-11.1;-12.7;;;27;;;;26;;;;;;;
217;3-oxo-3-phenylpropanenitrile;-1;H6C9N1O1;C1=CC=C(C=C1)C(=O)CC#N;;-58.1;;;328.1;;-12.2;-11.9;-11.0;;;10.2;;;;26;;;;;;;
218;3-methoxybenzoic acid;-1;H7C8O3;COC1=CC=CC(=C1)C(=O)O;;;;-70.9;332.9;;-13.4;-11.5;-11.8;;;;;9.3;;;;34;;;;;
